family,algorithm_display,algorithm_superfamily,algorithm_category,evaluation_mode,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_affiliation_precision,mean_affiliation_recall,mean_runtime_seconds
InternalBleeding,SAND | Init 3000,Distance-based,Clustering,range,28,0.9400480372217094,0.45418255140682195,0.47110249712351787,0.47110249712351787,0.8962587054986343,0.8747392521030604,18.80544941428317
InternalBleeding,SAND | Subseq x2,Distance-based,Clustering,range,28,0.9358775195943471,0.4533337974023626,0.45476596359744975,0.45476596359744975,0.9191329549563693,0.8775674060950979,2.9234213214326052
InternalBleeding,SAND | Baseline,Distance-based,Clustering,range,28,0.942233517743509,0.44934896236204447,0.4463387604953391,0.4463387604953391,0.8940386675794667,0.8571039261232277,14.203703049996486
InternalBleeding,SAND | k = 3,Distance-based,Clustering,range,28,0.9417241915996095,0.4470651353546525,0.44614667306868866,0.44614667306868866,0.9114199600664437,0.8729738694313955,7.813177967851516
InternalBleeding,SAND | Overlap 64,Distance-based,Clustering,range,28,0.9426170290370879,0.4442577904350724,0.44074340332432554,0.44074340332432554,0.9010173317148079,0.8850093395867743,37.49041482499576
InternalBleeding,SAND | Alpha 0.7,Distance-based,Clustering,range,28,0.943687543186205,0.43735168967330557,0.4376600956199561,0.4376600956199561,0.898173313371484,0.8447577832179549,14.47576520000335
InternalBleeding,Matrix Profile | Subseq x1,Distance-based,Discord,range,28,0.9505628112223944,0.45077258608258813,0.4050868424829796,0.4050868424829796,0.8824092897286275,0.9824811763709134,0.12248252857118912
InternalBleeding,SAND | Batch 1000,Distance-based,Clustering,range,28,0.9279305551886919,0.362749825095207,0.3708066559149028,0.3708066559149028,0.844864678793635,0.7960092953589133,16.3741886750005
InternalBleeding,Matrix Profile | Baseline,Distance-based,Discord,range,28,0.9178928236975121,0.3502630562309258,0.35988778139737193,0.35988778139737193,0.8916674002799504,0.8627731869278649,0.1199478821404877
InternalBleeding,OCSVM | Gamma 0.1,Density-based,Distribution,range,28,0.8398670950432653,0.30697974674588485,0.2735957950057089,0.2735957950057089,0.7771701303786746,0.880364467522076,0.1599446571407108
InternalBleeding,DAMP | x_lag x8,Distance-based,Discord,range,28,0.8469143543969077,0.3147011824282533,0.2707971825760848,0.2707971825760848,0.9237732546670743,0.5832286362842675,29.115364614285813
InternalBleeding,DAMP | Baseline,Distance-based,Discord,range,28,0.8500449681995964,0.30700226814717413,0.26862478742298995,0.26862478742298995,0.9240666221477317,0.5832176267314474,23.256971492854063
InternalBleeding,Isolation Forest | Max feat 0.6,Density-based,Tree,range,28,0.7596582718976812,0.2882039086662925,0.26857288665890294,0.26857288665890294,0.7625060416629846,0.7003945882796325,2.0271197214273604
InternalBleeding,Isolation Forest | Seed 7,Density-based,Tree,range,28,0.7839626755411829,0.2842740562889998,0.2674685750661971,0.2674685750661971,0.7559381181117828,0.7784587041263415,0.5940634250042162
InternalBleeding,Isolation Forest | Trees 400,Density-based,Tree,range,28,0.7689905278689534,0.28928120044063066,0.26657332245419757,0.26657332245419757,0.8408301654821977,0.664234817010765,1.150069885720898
InternalBleeding,DAMP | Start x2,Distance-based,Discord,range,28,0.8927115013229956,0.29935768663807033,0.26128323201242587,0.26128323201242587,0.9721334530842491,0.5706527965003854,29.82569824285955
InternalBleeding,OCSVM | Train frac 0.20,Density-based,Distribution,range,28,0.723813190414473,0.2789318638702313,0.2590964457864948,0.2590964457864948,0.8321506844598384,0.7179328381281868,0.16993064285114606
InternalBleeding,Local Outlier Factor | Baseline,Distance-based,Proximity,range,28,0.7977254171008311,0.26930057364038457,0.2538484412766493,0.2538484412766493,0.8002988413998144,0.9849629841385277,0.24610552142881456
InternalBleeding,Local Outlier Factor | Leaf size 60,Distance-based,Proximity,range,28,0.7977254171008311,0.26930057364038457,0.2538484412766493,0.2538484412766493,0.8002988413998144,0.9849629841385277,0.19311502857349946
InternalBleeding,Local Outlier Factor | Search brute,Distance-based,Proximity,range,28,0.7977254171008311,0.26930057364038457,0.2538484412766493,0.2538484412766493,0.8002988413998144,0.9849629841385277,0.20015032499421587
InternalBleeding,Isolation Forest | Baseline,Density-based,Tree,range,28,0.7636254038091747,0.2872620850846506,0.25292246992780215,0.25292246992780215,0.7943143850080686,0.74067444913429,0.5849488249971598
InternalBleeding,Isolation Forest | Max samples auto,Density-based,Tree,range,28,0.7636254038091747,0.2872620850846506,0.25292246992780215,0.25292246992780215,0.7943143850080686,0.74067444913429,0.5856130035722994
InternalBleeding,OCSVM | Baseline,Density-based,Distribution,range,28,0.7484726699568505,0.25857243377953304,0.24433751684903585,0.24433751684903585,0.7752749824331607,0.6935012021164118,0.11541213571867306
InternalBleeding,OCSVM | Nu 0.10,Density-based,Distribution,range,28,0.748011614675315,0.2585365009532942,0.24418337779975288,0.24418337779975288,0.7616900692417009,0.7145622887058146,0.14676901786047633
InternalBleeding,Isolation Forest | Bootstrap on,Density-based,Tree,range,28,0.765407444208049,0.2888019810666163,0.24306509926754044,0.24306509926754044,0.796823473977651,0.71411291903241,0.558620496430584
InternalBleeding,Matrix Profile | Subseq x4,Distance-based,Discord,range,28,0.8797100171052473,0.25911757391943424,0.23482960153055424,0.23482960153055424,0.8494347240124458,0.6259611305158277,0.14120177499509218
InternalBleeding,Local Outlier Factor | Metric manhattan,Distance-based,Proximity,range,28,0.8043129653994727,0.24555497774012908,0.22106861280378773,0.22106861280378773,0.7411291581512401,0.9615668097339063,2.293491310710254
InternalBleeding,Local Outlier Factor | p = 1,Distance-based,Proximity,range,28,0.8043129653994727,0.24555497774012908,0.22106861280378773,0.22106861280378773,0.7411291581512401,0.9615668097339063,2.30649277500301
InternalBleeding,Local Outlier Factor | Neighbors 10,Distance-based,Proximity,range,28,0.687041357827967,0.18574397078389723,0.17000970299448517,0.17000970299448517,0.7027419399363455,0.9834407634137943,0.212662746431306
InternalBleeding,HBOS | Bins 20,Density-based,Distribution,range,28,0.6348199359567145,0.10715656106496498,0.14278966122202047,0.14278966122202047,0.8177359015289422,0.3410163096016,0.5300026285674123
InternalBleeding,HBOS | Baseline,Density-based,Distribution,range,28,0.6308084211514097,0.09890777707131036,0.13049201379242872,0.13049201379242872,0.7677008896946292,0.27293560659629007,0.5341433928614217
InternalBleeding,HBOS | Tol 0.2,Density-based,Distribution,range,28,0.6308084211514097,0.09890777707131036,0.13049201379242872,0.13049201379242872,0.7677008896946292,0.27293560659629007,0.5254805071391664
InternalBleeding,HBOS | Alpha 0.05,Density-based,Distribution,range,28,0.6273120160628177,0.09805072092691144,0.12753684890724046,0.12753684890724046,0.7645748778865359,0.27288002863065086,0.5290329357230803
InternalBleeding,PCA | Baseline,Density-based,Encoding,range,28,0.5848421438253153,0.09171203221898962,0.11700986583660088,0.11700986583660088,0.9841735387662597,0.24445375771005054,0.20263721785990388
InternalBleeding,PCA | Score comps 2,Density-based,Encoding,range,28,0.5848390908894776,0.09171203221898962,0.11700986583660088,0.11700986583660088,0.984154493686556,0.24444423517019873,0.09829642856701477
InternalBleeding,PCA | Whiten on,Density-based,Encoding,range,28,0.5848421438253153,0.09171203221898962,0.11700986583660088,0.11700986583660088,0.9841735387662597,0.24445375771005054,0.2313651428641086
InternalBleeding,PCA | Standardize off,Density-based,Encoding,range,28,0.582172511687533,0.09154398020042633,0.11688612230933922,0.11688612230933922,0.9833736454187061,0.24447085858379905,0.24259414286020078
InternalBleeding,PCA | Weighted off,Density-based,Encoding,range,28,0.5842199135611672,0.09154398020042633,0.11688612230933922,0.11688612230933922,0.9840291971095583,0.2444613360439472,0.23723819642743496
InternalBleeding,PCA | Components 0.95,Density-based,Encoding,range,28,0.5702325027660134,0.08885029372463309,0.11511947818761525,0.11511947818761525,0.9837787862051294,0.2444925758638703,0.17196017500204366
InternalBleeding,OCSVM | Kernel linear,Density-based,Distribution,range,28,0.3400851895319566,0.025175223715765454,0.05714056440445075,0.05714056440445075,0.8167396822587304,0.5020802394276159,0.02938482500030659
CIMIS44AirTemperature,Matrix Profile | Subseq x4,Distance-based,Discord,range,13,0.9408647037730907,0.3348537556839083,0.19060490291596957,0.19060490291596957,0.766461528037695,0.9896765101258189,0.10527443076268984
CIMIS44AirTemperature,SAND | Overlap 64,Distance-based,Clustering,range,13,0.9704183625638402,0.19251267702112188,0.1690865959787423,0.1690865959787423,0.5941433423776596,0.9954157977199453,1.2823243923037528
CIMIS44AirTemperature,SAND | Baseline,Distance-based,Clustering,range,13,0.9701711051191508,0.18971813356326508,0.16726883780800986,0.16726883780800986,0.5907212965730274,0.9954709576138148,3.263779769230706
CIMIS44AirTemperature,SAND | Alpha 0.7,Distance-based,Clustering,range,13,0.9691641804222063,0.1830052318823411,0.16612651768410946,0.16612651768410946,0.5803494347424277,0.9953735703620497,2.9274609000019085
CIMIS44AirTemperature,SAND | Subseq x2,Distance-based,Clustering,range,13,0.9689659638523723,0.20085795595562936,0.16398563977842728,0.16398563977842728,0.5947067564686758,0.995410234926364,2.8283601769362576
CIMIS44AirTemperature,SAND | Init 3000,Distance-based,Clustering,range,13,0.9698330339947495,0.1711063920278787,0.1534657915753568,0.1534657915753568,0.5688679549715178,0.9952679616850124,3.033981653839314
CIMIS44AirTemperature,SAND | k = 3,Distance-based,Clustering,range,13,0.9692340847080221,0.17931168539869818,0.13891641288784842,0.13891641288784842,0.5892210375420037,0.9884094592043902,1.7723650384577923
CIMIS44AirTemperature,OCSVM | Gamma 0.1,Density-based,Distribution,range,13,0.4097749222943223,0.17461020452707665,0.13870477218163038,0.13870477218163038,0.6517738576766123,0.8089381394335311,0.035456599994526744
CIMIS44AirTemperature,SAND | Batch 1000,Distance-based,Clustering,range,13,0.965179295591954,0.1561086352597066,0.1382213613292833,0.1382213613292833,0.5700272596614414,0.9880967227856629,2.4008681846227353
CIMIS44AirTemperature,Matrix Profile | Baseline,Distance-based,Discord,range,13,0.9817566687458813,0.22652257692831043,0.11816823250034586,0.11816823250034586,0.6413918167221836,0.9957864178831921,0.10209780000150204
CIMIS44AirTemperature,Local Outlier Factor | Metric manhattan,Distance-based,Proximity,range,13,0.9608420781340197,0.18873526436437033,0.09319128765928841,0.09319128765928841,0.6265041499907619,0.9993923511204617,0.37912265383727994
CIMIS44AirTemperature,Local Outlier Factor | p = 1,Distance-based,Proximity,range,13,0.9608420781340197,0.18873526436437033,0.09319128765928841,0.09319128765928841,0.6265041499907619,0.9993923511204617,0.37006693077273667
CIMIS44AirTemperature,Matrix Profile | Subseq x1,Distance-based,Discord,range,13,0.9682935530300334,0.1718395200241674,0.0904625091036851,0.0904625091036851,0.6053554117960771,0.9995216841530206,0.12366740001240172
CIMIS44AirTemperature,Local Outlier Factor | Baseline,Distance-based,Proximity,range,13,0.968596550932451,0.18924667875905404,0.07482978969248885,0.07482978969248885,0.6384099368130293,0.9993618209747243,0.12438007691301979
CIMIS44AirTemperature,Local Outlier Factor | Leaf size 60,Distance-based,Proximity,range,13,0.968596550932451,0.18924667875905404,0.07482978969248885,0.07482978969248885,0.6384099368130293,0.9993618209747243,0.11980428461146612
CIMIS44AirTemperature,Local Outlier Factor | Search brute,Distance-based,Proximity,range,13,0.968596550932451,0.18924667875905404,0.07482978969248885,0.07482978969248885,0.6384099368130293,0.9993618209747243,0.12096673076918635
CIMIS44AirTemperature,DAMP | x_lag x8,Distance-based,Discord,range,13,0.8935848094403874,0.10331702042195023,0.07323339620007732,0.07323339620007732,0.5429856103918923,0.9915607779317457,5.589603900004966
CIMIS44AirTemperature,OCSVM | Baseline,Density-based,Distribution,range,13,0.7112099858962571,0.15242559456372037,0.06958990362233712,0.06958990362233712,0.6195360042192003,0.9925255389771519,0.04292229999555275
CIMIS44AirTemperature,DAMP | Baseline,Distance-based,Discord,range,13,0.8993003510214543,0.0988615145266983,0.06915054638283644,0.06915054638283644,0.5689767553247426,0.9881471485503744,5.578639761544764
CIMIS44AirTemperature,DAMP | Start x2,Distance-based,Discord,range,13,0.8997189886712617,0.09834476033536178,0.06865859713034853,0.06865859713034853,0.5675660373993472,0.9881471485503744,5.637131592308064
CIMIS44AirTemperature,Local Outlier Factor | Neighbors 10,Distance-based,Proximity,range,13,0.8836842355365933,0.17972423905991455,0.06596145113365212,0.06596145113365212,0.6362479902063396,0.9990877056890882,0.10259513077415669
CIMIS44AirTemperature,OCSVM | Nu 0.10,Density-based,Distribution,range,13,0.7119927742056847,0.14605010356224749,0.06387959756908389,0.06387959756908389,0.6066059863090226,0.9944331398248448,0.07359450770756946
CIMIS44AirTemperature,OCSVM | Train frac 0.20,Density-based,Distribution,range,13,0.7310960436778274,0.14557544878713624,0.06309131084562238,0.06309131084562238,0.6159028026105298,0.9950664197553599,0.07337226153602107
CIMIS44AirTemperature,OCSVM | Kernel linear,Density-based,Distribution,range,13,0.2807817281447636,0.011230857495917736,0.032987691894504984,0.032987691894504984,0.5936222128715479,0.8738801521059585,0.012855123083751935
CIMIS44AirTemperature,HBOS | Baseline,Density-based,Distribution,range,13,0.6581602857196261,0.015915119363395226,0.028723194963604173,0.028723194963604173,0.4739657261395268,0.558974819343483,0.0835371692172395
CIMIS44AirTemperature,HBOS | Tol 0.2,Density-based,Distribution,range,13,0.6581602857196261,0.015915119363395226,0.028723194963604173,0.028723194963604173,0.4739657261395268,0.558974819343483,0.08094157691812143
CIMIS44AirTemperature,HBOS | Bins 20,Density-based,Distribution,range,13,0.6672567615835651,0.002296211251435132,0.020182787509520184,0.020182787509520184,0.46369637626114785,0.5739210865938976,0.08816426924358194
CIMIS44AirTemperature,HBOS | Alpha 0.05,Density-based,Distribution,range,13,0.6513829080038358,0.007326007326007326,0.01754385964912281,0.01754385964912281,0.5039520644037488,0.7789292121089356,0.0879681461598151
CIMIS44AirTemperature,Isolation Forest | Trees 400,Density-based,Tree,range,13,0.661065467895877,0.010430247718383311,0.0149812734082397,0.0149812734082397,0.6672527699211026,0.8748597792376595,0.8770680538504027
CIMIS44AirTemperature,Isolation Forest | Bootstrap on,Density-based,Tree,range,13,0.6746410781848619,0.00866738894907909,0.014285714285714287,0.014285714285714287,0.7023544333315186,0.9015159187970248,0.42966445386320207
CIMIS44AirTemperature,Isolation Forest | Max feat 0.6,Density-based,Tree,range,13,0.6834073268295666,0.009419152276295133,0.01378955492667867,0.01378955492667867,0.6940942051945621,0.8887150675745146,0.5333528230727936
CIMIS44AirTemperature,Isolation Forest | Baseline,Density-based,Tree,range,13,0.6657374886730115,0.012362637362637364,0.013198069536097704,0.013198069536097704,0.6687875104768752,0.9009632840278001,0.4580040615446006
CIMIS44AirTemperature,Isolation Forest | Max samples auto,Density-based,Tree,range,13,0.6657374886730115,0.012362637362637364,0.013198069536097704,0.013198069536097704,0.6687875104768752,0.9009632840278001,0.4551905384466339
CIMIS44AirTemperature,Isolation Forest | Seed 7,Density-based,Tree,range,13,0.6756229854868159,0.010650887573964497,0.00860323886639676,0.00860323886639676,0.6958344082176247,0.9018087327419124,0.44518418460994813
CIMIS44AirTemperature,PCA | Baseline,Density-based,Encoding,range,13,0.5662371243618232,0.0,0.0,0.0,0.47673249239629023,0.8086792240018046,0.013017261535144197
CIMIS44AirTemperature,PCA | Components 0.95,Density-based,Encoding,range,13,0.5674054785307817,0.0,0.0,0.0,0.45622139633900116,0.7628675088352508,0.011186569230630994
CIMIS44AirTemperature,PCA | Score comps 2,Density-based,Encoding,range,13,0.5662678878766152,0.0,0.0,0.0,0.47914374561032946,0.8087168208135951,0.00824170768296776
CIMIS44AirTemperature,PCA | Standardize off,Density-based,Encoding,range,13,0.565565227452865,0.0,0.0,0.0,0.4784520618030036,0.8086792240018046,0.006986407692938183
CIMIS44AirTemperature,PCA | Weighted off,Density-based,Encoding,range,13,0.5637936633675651,0.0,0.0,0.0,0.47391389460176714,0.8086416271900142,0.010222815384622663
CIMIS44AirTemperature,PCA | Whiten on,Density-based,Encoding,range,13,0.5662371243618232,0.0,0.0,0.0,0.47673249239629023,0.8086792240018046,0.009910384622903971
WalkingAceleration,SAND | Overlap 64,Distance-based,Clustering,range,4,0.8155953297030619,0.32068155111633373,0.36908688707469195,0.36908688707469195,0.6046889451063598,0.6975650807899462,13.724307349999435
WalkingAceleration,HBOS | Baseline,Density-based,Distribution,range,4,0.5394959990825436,0.3438649500788229,0.34386495007882295,0.34386495007882295,0.9936486541765899,0.5,0.31077105000440497
WalkingAceleration,HBOS | Tol 0.2,Density-based,Distribution,range,4,0.5394959990825436,0.3438649500788229,0.34386495007882295,0.34386495007882295,0.9936486541765899,0.5,0.3086438500031363
WalkingAceleration,HBOS | Bins 20,Density-based,Distribution,range,4,0.541049029486062,0.3438423645320197,0.34384236453201966,0.34384236453201966,0.9936492921607483,0.5,0.32224242502707057
WalkingAceleration,HBOS | Alpha 0.05,Density-based,Distribution,range,4,0.5400721192179321,0.34092009685230024,0.3409200968523002,0.3409200968523002,0.9935173899033082,0.5,0.32149575000221375
WalkingAceleration,PCA | Baseline,Density-based,Encoding,range,4,0.5291975986728084,0.3269779044903778,0.3269779044903778,0.3269779044903778,0.9928316098835395,0.5,0.06812229999923147
WalkingAceleration,PCA | Components 0.95,Density-based,Encoding,range,4,0.5291309484867592,0.3269779044903778,0.3269779044903778,0.3269779044903778,0.9928316098835395,0.5,0.0554179250029847
WalkingAceleration,PCA | Score comps 2,Density-based,Encoding,range,4,0.5291937963460621,0.3269779044903778,0.3269779044903778,0.3269779044903778,0.9928316098835395,0.5,0.030978450027760118
WalkingAceleration,PCA | Standardize off,Density-based,Encoding,range,4,0.5293050679338467,0.3269779044903778,0.3269779044903778,0.3269779044903778,0.9928316098835395,0.5,0.05075167502218392
